Date,Summary
2024-09-23,"Stocks rose last week after the Federal Reserve cut interest rates, and the Dow closed at a record high Friday. Congress is trying to prevent a government shutdown, while Vice President Kamala Harris had a cash edge over former President Donald Trump entering the final stretch of the 2024 presidential campaign. Some striking Boeing workers told CNBC they are prepared for the work stoppage to last a long time."
2024-09-24,"Stocks rose again Monday as the Dow notched another record close. There’s no clear indication yet whether Fed officials are leaning toward another 50 basis point rate cut at their next policy meeting, or toward a more traditional 25-point move. GM is gaining momentum in its EV business."
2024-09-25,"Consumer confidence saw its biggest one-month decline in more than three years. The U.S. Department of Justice sued Visa. Caroline Ellison, the star witness in the prosecution of her former boyfriend and FTX founder Sam Bankman-Fried, was sentenced to two years in prison."
2024-09-26,The Dow Jones Industrial Average and S&P 500 both retreated from recent records. Meta unveiled a new virtual reality headset and a smart glasses prototype. Southwest Airlines is cutting some service to and from Atlanta next year in an effort to save money.
2024-09-27,The S&P 500 returned to record levels. Election misinformation is once again spreading on Facebook. There’s a newly approved drug for schizophrenia from Bristol Myers Squibb.
2024-09-30,The S&P 500 returned to record levels. Election misinformation is once again spreading on Facebook. There’s a newly approved drug for schizophrenia from Bristol Myers Squibb.
2024-10-01,"The S&P 500 posted a record close to end the month and the quarter. East and Gulf Coast port workers are on strike. Nike reports quarterly results after the bell Tuesday, weeks after the sneaker giant announced it would replace its CEO John Donahoe."
2024-10-02,Nike withdrew its full-year guidance and postponed its investor day. Iran launched a ballistic missile attack on Israel. JD Vance and Tim Walz met in a vice presidential debate.
2024-10-03,OpenAI closed its funding round at a $157 billion valuation. Tesla shares dropped after the EV maker missed estimates on deliveries. Americans might be able to bet on the outcome of the 2024 congressional elections soon.
2024-10-04,"Tens of thousands of dock workers are back on the job as the port strike ended. New jobs data from the Labor Department on Friday is expected to be similar to August. U.S. crude oil prices rose about 5% on Thursday, the third consecutive session of gains."
2024-10-07,"Stocks are off to a sluggish start for the month. The next earnings season kicks off this week, with PepsiCo, Delta Air Lines, JPMorgan Chase and Wells Fargo. Activist investor Starboard Value has set its sights on Pfizer."
2024-10-08,A powerful hurricane is projected to hit the Tampa Bay area of Florida. FTX creditors will make $1.19 for every dollar in the company’s bankruptcy plan. GM is hosting its first capital markets day in two years.
2024-10-09,Floridians and companies alike are scrambling to prepare for Hurricane Milton. More than a dozen state attorneys general filed lawsuits against TikTok for its effects on young users. The Justice Department indicated it is considering breaking up Google after a judge ruled it had a search monopoly.
2024-10-10,Stock futures slipped Thursday as investors await the latest CPI data. Federal Reserve officials were split on their half-point rate cut. Delta Air Lines says its earnings are on the climb.
2024-10-11,"TD Bank pleaded guilty Thursday in a criminal money laundering case and agreed to pay $3 billion in fines. Tesla shares fell more than 5% in premarket trading Friday after investors were underwhelmed by the company’s Cybercab concept reveal. AMD launched a new artificial intelligence chip Thursday that looks to compete with Nvidia’s data center graphics processors, known as GPUs."
2024-10-14,"U.S. stocks rose last week, as the S&P 500 and Dow Jones Industrial Average notched new records Friday. Banks including Bank of America and Goldman Sachs will lead a busy earnings week that will also feature United Airlines and Netflix. Boeing announced it will cut 10% of its workforce and expects major losses in the third quarter."
2024-10-15,"Stock futures were little changed Tuesday as U.S. stocks continued their record climb. Over one month since more than 30,000 Boeing machinists walked off the job after voting down a tentative contract, costs and tensions continue to rise as the two sides remain at an impasse. Nvidia closed at a record high on Monday as investors prepare for earnings season."
2024-10-16,"Shares of ASML slid 16% after hours, following a premature and disappointing earnings report on Tuesday. Bank of America, Goldman Sachs, and Citigroup continue the trend of better-than-expected earnings reports. National Football League owners unanimously approved Tom Brady and business partner Tom Wagner as minority owners of the Las Vegas Raiders."
2024-10-17,The Dow Jones Industrial Average reached a new record. Amazon is investing in nuclear power. AI chip demand remains strong.
2024-10-18,"Netflix shares jumped after the company’s third-quarter earnings beat expectations. Google said Prabhakar Raghavan, the company’s search and ads boss, will be replaced by longtime Google executive Nick Fox. Israeli Foreign Minister Israel Katz said Israel’s military forces killed Hamas leader Yahya Sinwar."
2024-10-21,"The S&P 500 and Dow Jones Industrial Average are on six-week winning streaks, as both closed at record highs Friday. About one-fifth of the S&P 500 reports earnings this week, and major companies reporting include Tesla, General Motors, American Airlines, UPS, Coca-Cola, AT&T, and Verizon. Boeing, which also will post results this week, and its machinists union reached a new contract proposal that could end a strike that has lasted more than a month."
2024-10-22,"The S&P 500 and Dow Jones Industrial Average are on six-week winning streaks, as both closed at record highs Friday. About one-fifth of the S&P 500 reports earnings this week, and major companies reporting include Tesla, General Motors, American Airlines, UPS, Coca-Cola, AT&T, and Verizon. Boeing, which also will post results this week, and its machinists union reached a new contract proposal that could end a strike that has lasted more than a month."
2024-10-23,"McDonald’s shares tanked after an E. coli outbreak at the chain killed 1 person and hospitalized 10 others. The IRS raised federal income and capital gains tax bracket thresholds, while also boosting estate and gift tax exemptions. Coca-Cola announced third-quarter earnings that beat Wall Street expectations."
2024-10-24,"Tesla CEO Elon Musk projected 20% vehicle sales growth next year. Boeing machinists rejected a new labor contract, extending a workers’ strike. CNBC’s Alex Sherman sat down with NBA Commissioner Adam Silver for the first installment of a new videocast series by CNBC Sport."
2024-10-25,A federal judge has blocked the proposed merger of Tapestry-owned Coach and Capri parent Michael Kors. Tesla stock had its best day since 2013. Microsoft CEO Satya Nadella asked for a reduction in the cash incentive portion of his pay but still saw his total compensation rise sharply.
2024-10-28,"Futures are trading higher Monday morning, led by the tech sector. It’s the busiest week of Q3 earnings. McDonald’s is reinstating the Quarter Pounder after it pulled the menu item from certain locations following a deadly E. coli outbreak."
2024-10-29,"JPMorgan Chase filed lawsuits against customers who allegedly stole thousands of dollars from ATMs through a viral 'infinite money glitch.' Ford Motor guided to the low end of its prior 2024 earnings forecast as it barely beat Wall Street’s Q3 expectations. Apple released an update that includes the first public version of Apple Intelligence, its artificial intelligence system."
2024-10-30,Alphabet reported third-quarter earnings results. Consumer confidence is up. Auto industry experts are preparing for all outcomes in the election.
2024-10-31,"Starbucks CEO Brian Niccol plans to 'fundamentally change' the coffee chain’s strategy after the company reported weak earnings. The U.S. economy grew 2.8% in the third quarter, boosted by solid consumer spending. Microsoft and Meta reported mixed quarterly results even as both companies beat analysts’ expectations on earnings."
